1.386294, 0.885223 # m = 2, p = 0.250000, a = 8, time = 0.000002
2.079442, 1.288865 # m = 3, p = 0.125000, a = 24, time = 0.000037
2.772589, 1.671381 # m = 4, p = 0.062500, a = 66, time = 0.000166
3.465736, 1.999577 # m = 5, p = 0.031250, a = 166, time = 0.001030
4.158883, 2.275249 # m = 6, p = 0.015625, a = 399, time = 0.005751
4.852030, 2.501039 # m = 7, p = 0.007812, a = 931, time = 0.031759
5.545177, 2.682406 # m = 8, p = 0.003906, a = 2129, time = 0.254681
6.238325, inf # m = 9, p = 0.001953, a = 4791, time = 0.921683
6.931472, inf # m = 10, p = 0.000977, a = 10646, time = 4.173573
7.624619, inf # m = 11, p = 0.000488, a = 23422, time = 19.922196
# Elapsed Time: 21 seconds
