1.386294, 0.885223 # m = 2, p = 0.250000, a = 8, time = 0.000047
2.079442, 1.288865 # m = 3, p = 0.125000, a = 24, time = 0.000076
2.772589, 1.671381 # m = 4, p = 0.062500, a = 66, time = 0.000160
3.465736, 1.999577 # m = 5, p = 0.031250, a = 166, time = 0.000827
4.158883, 1.574907 # m = 6, p = 0.015625, a = 399, time = 0.004180
4.852030, inf # m = 7, p = 0.007812, a = 931, time = 0.017912
5.545177, inf # m = 8, p = 0.003906, a = 2129, time = 0.089005
6.238325, inf # m = 9, p = 0.001953, a = 4791, time = 0.448224
6.931472, inf # m = 10, p = 0.000977, a = 10646, time = 2.222532
7.624619, inf # m = 11, p = 0.000488, a = 23422, time = 10.837170
8.317766, inf # m = 12, p = 0.000244, a = 51104, time = 51.761890
# Elapsed Time: 54 seconds
